Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.691150      2.376402E-01     -3.161455E-02      2.060257E-01
      0.722566      2.374765E-01     -2.784738E-02      2.096292E-01
      0.753982      2.373115E-01     -2.405018E-02      2.132613E-01
      0.785398      2.371459E-01     -2.023793E-02      2.169079E-01
      0.816814      2.369802E-01     -1.642568E-02      2.205545E-01
      0.848230      2.368152E-01     -1.262847E-02      2.241867E-01
      0.879646      2.366515E-01     -8.861299E-03      2.277902E-01
      0.911062      2.364897E-01     -5.139023E-03      2.313507E-01
      0.942478      2.363305E-01     -1.476337E-03      2.348542E-01
      0.973894      2.361746E-01      2.112306E-03      2.382869E-01
      1.005310      2.360224E-01      5.612743E-03      2.416352E-01
      1.036726      2.358748E-01      9.011160E-03      2.448859E-01
      1.068142      2.357321E-01      1.229414E-02      2.480262E-01
      1.099557      2.355950E-01      1.544874E-02      2.510437E-01
      1.130973      2.354640E-01      1.846249E-02      2.539265E-01
      1.162389      2.353397E-01      2.132352E-02      2.566632E-01
      1.193805      2.352225E-01      2.402051E-02      2.592430E-01
      1.225221      2.351129E-01      2.654284E-02      2.616557E-01
      1.256637      2.350113E-01      2.888055E-02      2.638918E-01
      1.288053      2.349181E-01      3.102441E-02      2.659425E-01
      1.319469      2.348337E-01      3.296596E-02      2.677997E-01
      1.350885      2.347585E-01      3.469754E-02      2.694560E-01
      1.382301      2.346927E-01      3.621232E-02      2.709050E-01
      1.413717      2.346365E-01      3.750431E-02      2.721408E-01
      1.445133      2.345903E-01      3.856842E-02      2.731587E-01
      1.476549      2.345541E-01      3.940044E-02      2.739546E-01
      1.507964      2.345282E-01      3.999711E-02      2.745253E-01
      1.539380      2.345126E-01      4.035605E-02      2.748686E-01
      1.570796      2.345074E-01      4.047585E-02      2.749832E-01
      1.602212      2.345126E-01      4.035605E-02      2.748686E-01
      1.633628      2.345282E-01      3.999711E-02      2.745253E-01
      1.665044      2.345541E-01      3.940044E-02      2.739546E-01
      1.696460      2.345903E-01      3.856842E-02      2.731587E-01
      1.727876      2.346365E-01      3.750431E-02      2.721408E-01
      1.759292      2.346927E-01      3.621232E-02      2.709050E-01
      1.790708      2.347585E-01      3.469754E-02      2.694560E-01
      1.822124      2.348337E-01      3.296596E-02      2.677997E-01
      1.853540      2.349181E-01      3.102441E-02      2.659425E-01
      1.884956      2.350113E-01      2.888055E-02      2.638918E-01
      1.916372      2.351129E-01      2.654284E-02      2.616557E-01
      1.947787      2.352225E-01      2.402051E-02      2.592430E-01
      1.979203      2.353397E-01      2.132352E-02      2.566632E-01
      2.010619      2.354640E-01      1.846249E-02      2.539265E-01
      2.042035      2.355950E-01      1.544874E-02      2.510437E-01
      2.073451      2.357321E-01      1.229414E-02      2.480262E-01
      2.104867      2.358748E-01      9.011160E-03      2.448859E-01
      2.136283      2.360224E-01      5.612743E-03      2.416352E-01
      2.167699      2.361746E-01      2.112306E-03      2.382869E-01
      2.199115      2.363305E-01     -1.476337E-03      2.348542E-01
      2.230531      2.364897E-01     -5.139023E-03      2.313507E-01
      2.261947      2.366515E-01     -8.861299E-03      2.277902E-01
      2.293363      2.368152E-01     -1.262847E-02      2.241867E-01
      2.324779      2.369802E-01     -1.642568E-02      2.205545E-01
      2.356194      2.371459E-01     -2.023793E-02      2.169079E-01
      2.387610      2.373115E-01     -2.405018E-02      2.132613E-01
      2.419026      2.374765E-01     -2.784738E-02      2.096292E-01
      2.450442      2.376402E-01     -3.161455E-02      2.060257E-01
      2.481858      2.378020E-01     -3.533683E-02      2.024652E-01
